"gene","rloop_density","rloop_rank","rloop_empirical_p","rloop_z"
"PTOV1",14.79,325,0.0120754997399123,2.25471856703106
"RHOT2",14.79,326,0.0121126551237274,2.25353700450663
"C9ORF163",14.76,327,0.0121498105075425,2.25235857977065
"MIR1238",14.74,328,0.0121869658913577,2.25118327457384
"DOK3",14.73,329,0.0122241212751728,2.25001107082869
"CBX4",14.63,330,0.0122612766589879,2.24884195060754
"TNFRSF13C",14.63,331,0.012298432042803,2.24767589614064
"ID1",14.62,332,0.0123355874266181,2.24651288981436
"TUBB4B",14.62,333,0.0123727428104332,2.24535291416929
"SLC16A3",14.61,334,0.0124098981942483,2.24419595189843
"METRN",14.59,335,0.0124470535780635,2.24304198584547
"CYP2W1",14.56,336,0.0124842089618786,2.24189099900294
"POLR3H",14.54,337,0.0125213643456937,2.24074297451056
"KRT80",14.49,338,0.0125585197295088,2.23959789565347
"CENPX",14.43,339,0.0125956751133239,2.23845574586059
"MIR3187",14.43,340,0.012632830497139,2.23731650870292
"PPP1CA",14.43,341,0.0126699858809541,2.23618016789197
"LONP1",14.4,342,0.0127071412647693,2.23504670727807
"SNORA67",14.4,343,0.0127442966485844,2.23391611084886
"MIR6080",14.36,344,0.0127814520323995,2.23278836272765
"MIRLET7B",14.34,345,0.0128186074162146,2.23166344717193
"SNORD17",14.34,346,0.0128557628000297,2.23054134857186
"MCL1",14.33,347,0.0128929181838448,2.22942205144871
"DHPS",14.32,348,0.01293007356766,2.22830554045342
"MIR6737",14.32,349,0.0129672289514751,2.22719180036517
"LOC646626",14.29,350,0.0130043843352902,2.22608081608989
"SHARPIN",14.26,351,0.0130415397191053,2.22497257265888
"FUS",14.21,352,0.0130786951029204,2.22386705522738
"RAVER1",14.2,353,0.0131158504867355,2.22276424907324
"ELF3",14.15,354,0.0131530058705506,2.22166413959553
"MIR4763",14.08,355,0.0131901612543658,2.2205667123132
"KIAA1683",14.06,356,0.0132273166381809,2.21947195286378
"SNHG3",14.02,357,0.013264472021996,2.21837984700206
"C8ORF82",14.01,358,0.0133016274058111,2.2172903805988
"ZASP",13.97,359,0.0133387827896262,2.2162035396395
"C19ORF24",13.96,360,0.0133759381734413,2.21511931022309
"NEAT1",13.92,361,0.0134130935572564,2.21403767856078
"SRSF5",13.92,362,0.0134502489410716,2.21295863097474
"MIR6871",13.9,363,0.0134874043248867,2.21188215389701
"SNORD46",13.9,364,0.0135245597087018,2.21080823386824
"RPL35",13.86,365,0.0135617150925169,2.20973685753656
"REPIN1",13.85,366,0.013598870476332,2.20866801165639
"MIR320E",13.83,367,0.0136360258601471,2.20760168308738
"MIR6719",13.81,368,0.0136731812439623,2.20653785879319
"MIR6728",13.8,369,0.0137103366277774,2.20547652584048
"SETD1B",13.8,370,0.0137474920115925,2.20441767139773
"SNORD38B",13.79,371,0.0137846473954076,2.20336128273427
"PLPPR3",13.74,372,0.0138218027792227,2.20230734721909
"PTMA",13.74,373,0.0138589581630378,2.2012558523199
"UBALD1",13.74,374,0.0138961135468529,2.20020678560204
"CRIP2",13.72,375,0.0139332689306681,2.19916013472749
"P4HB",13.72,376,0.0139704243144832,2.19811588745382
"HYI",13.69,377,0.0140075796982983,2.19707403163324
"PNKP",13.69,378,0.0140447350821134,2.19603455521159
"LINC00235",13.68,379,0.0140818904659285,2.19499744622739
"MIR3178",13.68,380,0.0141190458497436,2.19396269281088
"RPS19",13.58,381,0.0141562012335587,2.19293028318307
"ADRM1",13.55,382,0.0141933566173739,2.19190020565481
"MIR4750",13.55,383,0.014230512001189,2.19087244862586
"STC2",13.54,384,0.0142676673850041,2.18984700058402
"RNU1-1",13.53,385,0.0143048227688192,2.18882385010418
"SCRIB",13.52,386,0.0143419781526343,2.18780298584749
"INTS11",13.5,387,0.0143791335364494,2.18678439656044
"RPS21",13.5,388,0.0144162889202645,2.18576807107404
"SNORD117",13.5,389,0.0144534443040797,2.18475399830292
"MED16",13.49,390,0.0144905996878948,2.18374216724453
