"gene","dsb_density","dsb_rank","dsb_empirical_p","dsb_z"
"MIR663B",475.135,320,0.0123987756209074,2.24454197696353
"MIR7153",475.135,321,0.0124375217947228,2.2433377376859
"SAMD1",472.995,322,0.0124762679685381,2.2421367429173
"CDKN1B",472.735,323,0.0125150141423534,2.2409389734987
"SLCO5A1",470.43,324,0.0125537603161688,2.23974441044352
"SNORA90",469.735,325,0.0125925064899841,2.23855303493551
"H1F0",468.19,326,0.0126312526637995,2.23736482832673
"GAS8-AS1",467.935,327,0.0126699988376148,2.23617977213554
"MIR3928",467.08,328,0.0127087450114301,2.23499784804455
"RNU5A-1",467.08,329,0.0127474911852455,2.23381903789874
"DDX5",463.78,330,0.0127862373590608,2.23264332370349
"THOC7-AS1",463.27,331,0.0128249835328761,2.23147068762266
"LOC101927770",462.12,332,0.0128637297066915,2.23030111197678
"NOP56",461.69,333,0.0129024758805068,2.22913457924113
"SNORA105C",461.21,334,0.0129412220543221,2.227971072044
"MAZ",459.38,335,0.0129799682281375,2.22681057316482
"PNMA1",457.51,336,0.0130187144019528,2.22565306553246
"MASCRNA",457.3,337,0.0130574605757681,2.22449853222347
"IER2",456.905,338,0.0130962067495835,2.22334695646035
"HSPB1",455.72,339,0.0131349529233988,2.22219832160988
"TUBA1B",453.105,340,0.0131736990972142,2.22105261118145
"MIR4690",451.765,341,0.0132124452710295,2.21990980882542
"MIR98",449.68,342,0.0132511914448448,2.21876989833151
"HNRNPH3",448.86,343,0.0132899376186602,2.2176328636272
"PRICKLE2-AS1",447.795,344,0.0133286837924755,2.21649868877617
"RNA5S9",447.04,345,0.0133674299662908,2.21536735797673
"SNAR-B1",445.965,346,0.0134061761401062,2.2142388555603
"PPM1D",439.135,347,0.0134449223139215,2.21311316598995
"HIST2H2AC",436.47,348,0.0134836684877368,2.21199027385885
"PSMD6",436.095,349,0.0135224146615522,2.21087016388884
"EIF4G1",435.89,350,0.0135611608353675,2.20975282092901
"FOXA1",435.255,351,0.0135999070091828,2.20863822995423
"MIR6726",435.175,352,0.0136386531829982,2.2075263760638
"MIR6733",435.175,353,0.0136773993568135,2.20641724448003
"BOLA2",434.94,354,0.0137161455306289,2.20531082054689
"MYC",432.255,355,0.0137548917044442,2.20420708972867
"LOC606724",431.585,356,0.0137936378782595,2.20310603760866
"MIR4426",430.59,357,0.0138323840520749,2.20200764988782
"SNORD54",430.59,358,0.0138711302258902,2.20091191238354
"EIF4A1",427.145,359,0.0139098763997055,2.19981881102829
"SNORA40",426.08,360,0.0139486225735209,2.19872833186845
"IFITM10",424.945,361,0.0139873687473362,2.19764046106303
"LINC01522",424.18,362,0.0140261149211515,2.19655518488243
"MIR3196",423.965,363,0.0140648610949669,2.19547248970731
"SCARNA4",423.965,364,0.0141036072687822,2.1943923620273
"PVT1",422.585,365,0.0141423534425975,2.19331478843994
"RPL7",421.82,366,0.0141810996164129,2.19223975564943
"CYP24A1",421.215,367,0.0142198457902282,2.19116725046556
"SNORA36A",420.73,368,0.0142585919640436,2.19009725980253
"CELSR2",419.93,369,0.0142973381378589,2.18902977067788
"HSPA8",418.4,370,0.0143360843116742,2.18796477021139
"MIR3670-1",417.54,371,0.0143748304854896,2.18690224562399
"MIR6727",417.54,372,0.0144135766593049,2.18584218423667
"CSDE1",416.765,373,0.0144523228331202,2.18478457346949
"MIR6783",415.09,374,0.0144910690069356,2.18372940084049
"SNORA41",414.4,375,0.0145298151807509,2.18267665396469
"SNORA44",414.4,376,0.0145685613545662,2.18162632055306
"ATP2B1-AS1",413.12,377,0.0146073075283816,2.18057838841154
"MIR378A",411.31,378,0.0146460537021969,2.17953284544005
"MIR4680",411.31,379,0.0146847998760122,2.17848967963153
"MIR4708",411.31,380,0.0147235460498276,2.17744887907094
"SNORA84",411.31,381,0.0147622922236429,2.17641043193437
"SNORD34",411.31,382,0.0148010383974583,2.17537432648806
"SCARNA6",410.69,383,0.0148397845712736,2.17434055108751
"TUBB4B",410.525,384,0.0148785307450889,2.17330909417652
"SNORA69",410.065,385,0.0149172769189043,2.17227994428637
"KMT2E-AS1",409.245,386,0.0149560230927196,2.17125309003486
"GPR37L1",409.085,387,0.0149947692665349,2.17022852012545
"MIR5684",408.8,388,0.0150335154403503,2.16920622334644
"PSMD6-AS2",407.26,389,0.0150722616141656,2.16818618857005
"SNORA50C",407.005,390,0.0151110077879809,2.16716840475161
"BCAS1",406.98,391,0.0151497539617963,2.16615286092874
"METTL12",406.085,392,0.0151885001356116,2.1651395462205
"SEMA4C",405.63,393,0.0152272463094269,2.1641284498266
"MIR7515",405.26,394,0.0152659924832423,2.16311956102657
"SNORD36C",405.26,395,0.0153047386570576,2.162112869179
"WFDC21P",405.245,396,0.015343484830873,2.16110836372073
"SNORA17B",403.985,397,0.0153822310046883,2.16010603416612
"MIR3064",402.7,398,0.0154209771785036,2.15910587010623
"MIR6788",402.7,399,0.015459723352319,2.1581078612081
"MIR6860",402.7,400,0.0154984695261343,2.157111997214
"MIR6882",402.7,401,0.0155372156999496,2.15611826794071
"SCARNA12",402.5,402,0.015575961873765,2.15512666327876
"SNORA50A",402.305,403,0.0156147080475803,2.15413717319174
"SNORA80B",402.305,404,0.0156534542213956,2.15314978771558
