"gene","top1_density","top1_rank","top1_empirical_p","top1_z"
"SNORA38B",2.35,199,0.00739392137920785,2.43753352909759
"CTSD",2.34,200,0.00743107676302296,2.43572073898865
"HIST1H3F",2.34,201,0.00746823214683808,2.4339159179968
"SNORA54",2.34,202,0.00750538753065319,2.43211899053558
"SNORD1C",2.34,203,0.00754254291446831,2.43032988210766
"MIR503",2.33,204,0.00757969829828342,2.42854851928394
"FOXA1",2.32,205,0.00761685368209854,2.42677482968297
"MIR545",2.32,206,0.00765400906591365,2.42500874195104
"SNORD12B",2.32,207,0.00769116444972877,2.42325018574259
"SNORD82",2.32,208,0.00772831983354388,2.42149909170121
"MIR4509-1",2.31,209,0.007765475217359,2.41975539144098
"MIR802",2.31,210,0.00780263060117411,2.41801901752839
"SNORA48",2.31,211,0.00783978598498923,2.41628990346447
"ZFP36L2",2.31,212,0.00787694136880434,2.4145679836676
"EIF4A2",2.28,213,0.00791409675261946,2.41285319345646
"MIR125B2",2.28,214,0.00795125213643457,2.41114546903359
"MIR300",2.28,215,0.00798840752024968,2.40944474746915
"RNF223",2.28,216,0.0080255629040648,2.40775096668521
"ACPT",2.27,217,0.00806271828787991,2.40606406544024
"MIR154",2.27,218,0.00809987367169503,2.4043839833141
"MIR27B",2.27,219,0.00813702905551014,2.40271066069328
"TMEM126A",2.27,220,0.00817418443932526,2.40104403875645
"CLDN4",2.26,221,0.00821133982314037,2.39938405946041
"MGC16275",2.26,222,0.00824849520695549,2.39773066552633
"MIR5700",2.25,223,0.0082856505907706,2.39608380042625
"SNORD1B",2.25,224,0.00832280597458572,2.3944434083699
"TPT1",2.25,225,0.00835996135840083,2.39280943429185
"ATF4",2.24,226,0.00839711674221595,2.39118182383887
"MIR572",2.24,227,0.00843427212603106,2.38956052335766
"NR2F2",2.24,228,0.00847142750984618,2.38794547988271
"SNORA61",2.24,229,0.00850858289366129,2.38633664112455
"SNORA73B",2.24,230,0.00854573827747641,2.38473395545818
"IRF2BP2",2.23,231,0.00858289366129152,2.38313737191178
"HIST1H2BL",2.22,232,0.00862004904510664,2.38154684015565
"MIR5088",2.22,233,0.00865720442892175,2.37996231049138
"BAMBI",2.21,234,0.00869435981273687,2.37838373384122
"MIR3912",2.21,235,0.00873151519655198,2.37681106173776
"MIR4692",2.21,236,0.0087686705803671,2.37524424631372
"HIST1H2AK",2.2,237,0.00880582596418221,2.37368324029204
"MIR190A",2.2,238,0.00884298134799733,2.37212799697609
"MIR3142",2.2,239,0.00888013673181244,2.3705784702402
"MIR4999",2.2,240,0.00891729211562755,2.36903461452024
"MIR6810",2.2,241,0.00895444749944267,2.36749638480451
"SNORD101",2.2,242,0.00899160288325778,2.36596373662477
"SNORD14C",2.2,243,0.0090287582670729,2.36443662604743
"DUSP4",2.19,244,0.00906591365088801,2.362915009665
"MIR3116-2",2.19,245,0.00910306903470313,2.36139884458758
"MIR616",2.19,246,0.00914022441851824,2.35988808843465
"MIR8064",2.19,247,0.00917737980233336,2.35838269932693
"SNORA70E",2.19,248,0.00921453518614847,2.3568826358785
"MIR1184-1",2.18,249,0.00925169056996359,2.35538785718895
"MIR1273G",2.18,250,0.0092888459537787,2.3538983228358
"MYL6",2.18,251,0.00932600133759382,2.352413992867
"MIR147A",2.17,252,0.00936315672140893,2.35093482779362
"MIR664B",2.16,253,0.00940031210522405,2.34946078858263
"SNORA59A",2.16,254,0.00943746748903916,2.34799183664987
"APRT",2.15,255,0.00947462287285428,2.34652793385313
"MIR636",2.15,256,0.00951177825666939,2.34506904248538
"RPL13",2.15,257,0.00954893364048451,2.34361512526811
"SNORD44",2.15,258,0.00958608902429962,2.34216614534483
"SRSF3",2.15,259,0.00962324440811474,2.34072206627463
"TPM4",2.15,260,0.00966039979192985,2.33928285202594
"DDX5",2.14,261,0.00969755517574497,2.33784846697035
"MIR27A",2.14,262,0.00973471055956008,2.3364188758766
"MIR3116-1",2.13,263,0.0097718659433752,2.3349940439046
"MIR6893",2.13,264,0.00980902132719031,2.33357393659966
"MIR1285-2",2.12,265,0.00984617671100542,2.33215851988673
"NRARP",2.12,266,0.00988333209482054,2.33074776006487
"GPRC5A",2.11,267,0.00992048747863565,2.32934162380167
"MIR142",2.11,268,0.00995764286245077,2.32794007812788
"MIR520H",2.11,269,0.00999479824626588,2.32654309043216
"SNORD51",2.11,270,0.010031953630081,2.32515062845579
"IER5L",2.1,271,0.0100691090138961,2.32376266028761
"MIR103B1",2.1,272,0.0101062643977112,2.322379154359
"MIR5093",2.1,273,0.0101434197815263,2.32100007943895
"MIR6777",2.1,274,0.0101805751653415,2.31962540462923
"MIR6853",2.1,275,0.0102177305491566,2.31825509935961
"MIRLET7A1",2.09,276,0.0102548859329717,2.31688913338325
"SNORD59B",2.09,277,0.0102920413167868,2.31552747677205
"METTL23",2.08,278,0.0103291967006019,2.31417009991221
"MIR103A1",2.08,279,0.010366352084417,2.31281697349977
"MIR4775",2.08,280,0.0104035074682321,2.31146806853628
