"gene","top1cc_density","top1cc_rank","top1cc_empirical_p","top1cc_z"
"RNA28S5",2.94,37,0.00137474920115925,2.99443920846105
"RNVU1-14",2.93,38,0.00141190458497436,2.9862941097652
"MIR6724-1",2.92,39,0.00144905996878948,2.97834243729091
"RNU4-1",2.91,40,0.00148621535260459,2.97057473697791
"HIST1H2AI",2.84,41,0.00152337073641971,2.96298224017436
"SNORD78",2.84,42,0.00156052612023482,2.95555679856664
"LINC01523",2.77,43,0.00159768150404994,2.94829082667663
"HIST1H1D",2.74,44,0.00163483688786505,2.9411772508924
"USP17L11",2.73,45,0.00167199227168017,2.93420946415946
"HIST1H1B",2.72,46,0.00170914765549528,2.92738128559308
"MIR8075",2.71,47,0.0017463030393104,2.92068692438247
"LOC100131496",2.68,48,0.00178345842312551,2.91412094745007
"LOC221946",2.68,49,0.00182061380694063,2.90767825040526
"BMP7-AS1",2.65,50,0.00185776919075574,2.90135403139755
"HIST1H1C",2.63,51,0.00189492457457086,2.8951437675275
"TALAM1",2.61,52,0.00193207995838597,2.8890431935206
"HIST2H2BE",2.58,53,0.00196923534220108,2.88304828240773
"MIR3680-1",2.58,54,0.0020063907260162,2.87715522798947
"SNORD68",2.57,55,0.00204354610983131,2.87136042888967
"USP17L6P",2.57,56,0.00208070149364643,2.86566047402824
"HIST1H2AG",2.56,57,0.00211785687746154,2.86005212936388
"JUN",2.52,58,0.00215501226127666,2.85453232577537
"MIR106B",2.52,59,0.00219216764509177,2.84909814796616
"MIR4792",2.5,60,0.00222932302890689,2.84374682428969
"MIR1206",2.48,61,0.002266478412722,2.83847571740527
"ID1",2.47,62,0.00230363379653712,2.83328231568425
"MIR3193",2.47,63,0.00234078918035223,2.82816422529513
"ACTG1",2.43,64,0.00237794456416735,2.82311916290408
"HIST1H4K",2.43,65,0.00241509994798246,2.81814494893436
"MIR6770-1",2.42,66,0.00245225533179758,2.81323950133368
"MIR298",2.41,67,0.00248941071561269,2.8084008298044
"RNU5A-1",2.4,68,0.00252656609942781,2.80362703045569
"IER5",2.39,69,0.00256372148324292,2.79891628084111
"HIST1H2AD",2.36,70,0.00260087686705804,2.79426683534871
"BMP7",2.35,71,0.00263803225087315,2.78967702091386
"MALAT1",2.35,72,0.00267518763468827,2.78514523302812
"MIR1178",2.34,73,0.00271234301850338,2.78066993201978
"MIR4701",2.34,74,0.0027494984023185,2.77624963958431
"MIR6751",2.34,75,0.00278665378613361,2.7718829355445
"USP17L22",2.34,76,0.00282380916994873,2.76756845482255
"CA4",2.33,77,0.00286096455376384,2.76330488460743
"HIST1H4H",2.33,78,0.00289811993757896,2.7590909617027
"ZFP36",2.33,79,0.00293527532139407,2.75492547004098
"MIR146B",2.32,80,0.00297243070520918,2.75080723835281
"SNORA50C",2.32,81,0.0030095860890243,2.74673513797832
"MIR1226",2.31,82,0.00304674147283941,2.74270808081154
"HIST1H4J",2.3,83,0.00308389685665453,2.73872501736748
"MIR4521",2.3,84,0.00312105224046964,2.73478493496364
"MIR6777",2.3,85,0.00315820762428476,2.73088685600757
"RNA5S11",2.3,86,0.00319536300809987,2.72702983638334
"SNORD23",2.3,87,0.00323251839191499,2.72321296392996
"SNORD3B-1",2.3,88,0.0032696737757301,2.71943535700575
"HIST1H2AM",2.29,89,0.00330682915954522,2.71569616313256
"JUND",2.29,90,0.00334398454336033,2.7119945577149
"MIR6827",2.29,91,0.00338113992717545,2.70832974282878
"MIR8083",2.29,92,0.00341829531099056,2.70470094607593
"SNORD15A",2.29,93,0.00345545069480568,2.70110741949906
"USP17L9P",2.28,94,0.00349260607862079,2.69754843855443
"RNA5S9",2.26,95,0.00352976146243591,2.69402330113799
"RPL13",2.26,96,0.00356691684625102,2.69053132666188
"TUBD1",2.26,97,0.00360407223006614,2.6870718551781
"USP17L15",2.26,98,0.00364122761388125,2.68364424654651
"MIR345",2.25,99,0.00367838299769637,2.68024787964457
"MIR7-1",2.25,100,0.00371553838151148,2.67688215161613
"SNAR-A10",2.25,101,0.0037526937653266,2.67354647715722
"SULF2",2.25,102,0.00378984914914171,2.67024028783646
"USP17L17",2.25,103,0.00382700453295683,2.66696303144821
"MIR25",2.24,104,0.00386415991677194,2.66371417139655
"MIR4261",2.24,105,0.00390131530058706,2.66049318610828
"NEAT1",2.24,106,0.00393847068440217,2.65729956847347
"SNORD135",2.24,107,0.00397562606821728,2.65413282531178
"USP17L24",2.24,108,0.0040127814520324,2.65099247686341
"MIR4722",2.22,109,0.00404993683584751,2.64787805630303
"MIR5093",2.21,110,0.00408709221966263,2.64478910927575
"MIR570",2.21,111,0.00412424760347774,2.64172519345372
"NACA2",2.21,112,0.00416140298729286,2.63868587811235
"XBP1",2.21,113,0.00419855837110797,2.63567074372509
"LOC101927377",2.2,114,0.00423571375492309,2.63267938157588
"MIR3143",2.2,115,0.0042728691387382,2.62971139338823
"SULT1A3",2.2,116,0.00431002452255332,2.62676639097014
"MIR4252",2.19,117,0.00434717990636843,2.62384399587408
"MIR770",2.19,118,0.00438433529018355,2.62094383907122
"PRMT6",2.19,119,0.00442149067399866,2.61806556063922
"ZNF217",2.19,120,0.00445864605781378,2.61520880946287
"LINC01999",2.17,121,0.00449580144162889,2.61237324294705
"MIR4499",2.17,122,0.00453295682544401,2.6095585267413
"MIR503",2.17,123,0.00457011220925912,2.60676433447541
"HIST1H3G",2.16,124,0.00460726759307424,2.60399034750571
"REXO1L2P",2.16,125,0.00464442297688935,2.60123625467127
"ZMYND8",2.16,126,0.00468157836070447,2.59850175205976
"SNAR-A12",2.14,127,0.00471873374451958,2.59578654278239
"RNU5F-1",2.13,128,0.0047558891283347,2.59309033675758
"SNORA103",2.13,129,0.00479304451214981,2.59041285050292
"LINC00494",2.12,130,0.00483019989596492,2.58775380693507
"LOC102724034",2.11,131,0.00486735527978004,2.58511293517716
"SNORA73A",2.11,132,0.00490451066359516,2.58248997037347
"CYP24A1",2.1,133,0.00494166604741027,2.57988465351099
"MIR192",2.1,134,0.00497882143122538,2.57729673124755
"MIR6826",2.1,135,0.0050159768150405,2.57472595574628
"HIST1H2BJ",2.09,136,0.00505313219885561,2.57217208451605
"MIR3656",2.09,137,0.00509028758267073,2.5696348802577
"MIR410",2.09,138,0.00512744296648584,2.56711411071582
"MIR4488",2.09,139,0.00516459835030096,2.56460954853571
"SNORD12B",2.09,140,0.00520175373411607,2.56212097112546
"TBC1D3P1-DHX40P1",2.09,141,0.00523890911793119,2.55964816052287
"BCYRN1",2.08,142,0.0052760645017463,2.55719090326703
"FAM83A-AS1",2.08,143,0.00531321988556142,2.5547489902742
"HIST1H4B",2.08,144,0.00535037526937653,2.55232221671815
"LINC01522",2.08,145,0.00538753065319165,2.54991038191447
"MIR6832",2.08,146,0.00542468603700676,2.54751328920878
"LOC105371849",2.07,147,0.00546184142082188,2.54513074586876
"MIR1825",2.07,148,0.00549899680463699,2.54276256297981
"MIR4322",2.06,149,0.00553615218845211,2.54040855534402
"STC2",2.06,150,0.00557330757226722,2.53806854138273
"APRT",2.05,151,0.00561046295608234,2.53574234304197
"MIR4429",2.05,152,0.00564761833989745,2.53342978570126
"MIR6075",2.05,153,0.00568477372371257,2.53113069808516
"SNORD15B",2.05,154,0.00572192910752768,2.52884491217777
"SNORD60",2.05,155,0.0057590844913428,2.52657226313991
"LOC101927755",2.04,156,0.00579623987515791,2.52431258922891
"MCL1",2.04,157,0.00583339525897303,2.522065731721
"MIR6797",2.04,158,0.00587055064278814,2.51983153483603
"TEX14",2.04,159,0.00590770602660325,2.51760984566461
"FOXA1",2.03,160,0.00594486141041837,2.51540051409745
"HIST1H3H",2.03,161,0.00598201679423348,2.51320339275691
"SNORD83A",2.03,162,0.0060191721780486,2.51101833693058
"TBX4",2.03,163,0.00605632756186371,2.50884520450696
"TRIM37",2.03,164,0.00609348294567883,2.50668385591299
"C17ORF64",2.02,165,0.00613063832949394,2.50453415405351
"HIST1H4E",2.02,166,0.00616779371330906,2.5023959642525
"KRTAP22-1",2.02,167,0.00620494909712417,2.50026915419607
"NCOA3",2.02,168,0.00624210448093929,2.49815359387709
"NPIPB13",2.02,169,0.0062792598647544,2.49604915554151
"LOC101927855",2.01,170,0.00631641524856952,2.49395571363618
"MIR1273A",2.01,171,0.00635357063238463,2.49187314475816
"MIR3184",2.01,172,0.00639072601619975,2.4898013276056
"MIR4530",2.01,173,0.00642788140001486,2.48774014292987
"PARD6B",2.01,174,0.00646503678382998,2.48568947348917
"PREX1",2.01,175,0.00650219216764509,2.48364920400339
"PRR20A",2.01,176,0.00653934755146021,2.48161922111026
"SNORD114-5",2.01,177,0.00657650293527532,2.47959941332269
"SNORD34",2.01,178,0.00661365831909044,2.47758967098736
"POU5F1B",2,179,0.00665081370290555,2.47558988624438
"SNORD81",2,180,0.00668796908672067,2.47359995298809
"MIR4692",1.99,181,0.00672512447053578,2.47161976682897
"RNA5S10",1.99,182,0.0067622798543509,2.46964922505648
"SNHG25",1.99,183,0.00679943523816601,2.46768822660301
"SNORA22",1.99,184,0.00683659062198113,2.46573667200876
"LOC100190986",1.98,185,0.00687374600579624,2.46379446338752
"MIR1202",1.98,186,0.00691090138961136,2.46186150439341
"MIR3150A",1.98,187,0.00694805677342647,2.45993770018848
"MIR3150B",1.98,188,0.00698521215724158,2.45802295741114
"MIR423",1.98,189,0.0070223675410567,2.45611718414548
"MIR4789",1.98,190,0.00705952292487181,2.45422028989128
"MIR6734",1.98,191,0.00709667830868693,2.45233218553491
"MIR6769B",1.98,192,0.00713383369250204,2.4504527833209
"MIR6881",1.98,193,0.00717098907631716,2.44858199682429
"MIR7843",1.98,194,0.00720814446013227,2.44671974092363
"MIR7973-1",1.98,195,0.00724529984394739,2.44486593177469
"MYC",1.98,196,0.0072824552277625,2.44302048678485
"SNORA59A",1.98,197,0.00731961061157762,2.44118332458812
"GOLGA6D",1.97,198,0.00735676599539273,2.43935436502078
"LOC105372672",1.97,199,0.00739392137920785,2.43753352909759
"MIR1299",1.97,200,0.00743107676302296,2.43572073898865
"MIR4297",1.97,201,0.00746823214683808,2.4339159179968
"MIR484",1.97,202,0.00750538753065319,2.43211899053558
"MIR485",1.97,203,0.00754254291446831,2.43032988210766
"MIR6815",1.97,204,0.00757969829828342,2.42854851928394
"PPIAL4C",1.97,205,0.00761685368209854,2.42677482968297
"RPS6KB1",1.97,206,0.00765400906591365,2.42500874195104
"TFF1",1.97,207,0.00769116444972877,2.42325018574259
"MIR1205",1.96,208,0.00772831983354388,2.42149909170121
"MIR1248",1.96,209,0.007765475217359,2.41975539144098
"MIR7973-2",1.96,210,0.00780263060117411,2.41801901752839
"PPIAL4G",1.96,211,0.00783978598498923,2.41628990346447
"USP17L12",1.96,212,0.00787694136880434,2.4145679836676
"GOLGA6A",1.95,213,0.00791409675261946,2.41285319345646
"MIR3064",1.95,214,0.00795125213643457,2.41114546903359
"MIR6757",1.95,215,0.00798840752024968,2.40944474746915
"NPIPB5",1.95,216,0.0080255629040648,2.40775096668521
"ADAMTSL4-AS1",1.94,217,0.00806271828787991,2.40606406544024
