"gene","expression"
"RSL1D1",126.555
"WDR83OS",126.495
"SLC25A6",125.821666666667
"EIF4G1",125.755
"PSMB5",125.68
"LXN",125.571666666667
"MRPL20",125.57
"KIF22",125.56
"APP",125.403333333333
"EIF4A3",125.23
"MYOF",125.22
"LY6E",125.195
"SUPT16H",125.116666666667
"TOMM5",124.811666666667
"NANS",124.785
"ATOX1",124.72
"ANAPC13",124.715
"SMARCD2",124.435
"NRAS",123.991666666667
"EIF1",123.923333333333
"HAT1",123.72
"TRIR",123.336666666667
"DDX17",123.288333333333
"RHOBTB3",123.103333333333
"EIF4H",122.87
"VAPA",122.565
"PIEZO1",122.115
"CCT8",121.725
"SF3B3",121.023333333333
"ARCN1",120.555
"THOC3",120.49
"CTNNA1",120.306666666667
"IMPDH2",120.288333333333
"SDHA",120.101666666667
"SSB",119.871666666667
"RDX",119.825
"NQO1",119.573333333333
"ATF4",119.43
"TOP2A",119.333333333333
"MTCH2",119.176666666667
"OAZ1",119.088333333333
"CBX1",118.471666666667
"CMC2",118.415
"RPL36",118.411666666667
"UBAP2L",118.221666666667
"MACROH2A1",118.145
"PPP1CA",117.245
"DDX24",116.788333333333
"ENSA",116.643333333333
"RPS27L",116.585
"MRPL3",116.383333333333
"SH3BGRL",116.18
"COPZ1",116.138333333333
"PDAP1",116.081666666667
"HNRNPR",115.996666666667
"UBE2V1",115.861666666667
"PRELID3B",115.791666666667
"PNN",115.333333333333
"SEC61A1",115.235
"MRFAP1L1",115.163333333333
"PEBP1",115.11
"SNX3",114.963333333333
"HMCN1",114.915
"UBE2T",114.708333333333
"HSPA1A",114.621666666667
"TFDP1",114.478333333333
"TATDN1",114.466666666667
"RPL22L1",114.455
"LSM7",114.013333333333
"RPL26L1",113.683333333333
"SF3B5",113.556666666667
"AP1S1",113.178333333333
"XPO1",113.02
"RAB1B",112.613333333333
"UQCRC2",112.288333333333
"PAIP2",112.215
"HSD17B10",112.075
"PSME1",111.848333333333
"PSMA5",111.741666666667
"TSPAN13",111.726666666667
"AARS1",111.593333333333
"ACADVL",111.531666666667
"ATP6V1F",111.285
"PAICS",111.001666666667
"FTL",110.873333333333
"FDPS",110.751666666667
"POLR2K",110.301666666667
"LGALS1",110.113333333333
"STARD7",110.091666666667
"SRP9P1",109.376666666667
"PRMT5",109.34
"PLCG1",109.333333333333
"PPIF",108.825
"CNIH1",108.461666666667
"HP1BP3",108.45
"NRBP1",108.341666666667
"GANAB",108.265
"RPLP2",108.103333333333
"IK",108.003333333333
"TRA2B",107.92
"CAP1",107.6
"ETFA",107.523333333333
"CHURC1",107.428333333333
"CAPRIN1",107.255
"LAMTOR5",107.055
"AK2",106.645
"FTSJ3",106.501666666667
"APLP2",106.316666666667
"FAM32A",106.298333333333
"NT5C2",106.23
"COPB2",105.978333333333
"H4C8",105.973333333333
"MRPL27",105.595
"TFRC",105.581666666667
"C9ORF78",105.491666666667
"TCF25",105.486666666667
"TMEM205",105.261666666667
"ACTR3",105.228333333333
"DNAJC8",105.005
"THBS1",104.916666666667
"ANXA5",104.48
"CCT4",104.45
"KLC1",104.071666666667
"U2AF1",103.976666666667
"C12ORF57",103.931666666667
"NDUFB3",103.776666666667
"KDELR2",103.771666666667
"SRI",103.608333333333
"TMEM59",103.335
"ANAPC5",103.291666666667
"PTDSS1",103.195
"UBE2D3",103.083333333333
"SKIC8",103.083333333333
"TUG1",102.99
"LAMTOR4",102.898333333333
"NSA2",102.896666666667
"PPP1CC",102.831666666667
"HNRNPD",102.62
"PPA1",102.513333333333
"JPT1",102.141666666667
"TMED9",101.8
"ACTR2",101.516666666667
"VDAC3",101.511666666667
"YWHAH",101.508333333333
"DCTPP1",101.488333333333
"MRPL33",101.301666666667
"CAPZA1",101.295
"SRSF6",101.278333333333
"NOP58",101.163333333333
"CNPY2",101.126666666667
"SF1",100.926666666667
"PTTG1IP",100.688333333333
"ARPC4",100.631666666667
"EIF2AK1",100.488333333333
"SRP19",100.361666666667
"RHOC",100.201666666667
"FAM136A",100.036666666667
"HSPH1",99.8133333333333
"CSE1L",99.6716666666667
"LMNB1",99.4266666666667
"RBM39",99.38
"PPP1R14B",99.1966666666667
"ERGIC3",99.1916666666667
