"gene","top1_density"
"AGBL1",1.07
"AGBL1-AS1",1.1
"AGBL2",1.19
"AGBL3",1.07
"AGBL4",1.05
"AGBL4-IT1",1.03
"AGBL5",1.16
"AGBL5-AS1",1.12
"AGER",1.19
"AGFG1",1.24
"AGFG2",1.09
"AGGF1",1.15
"AGK",1.07
"AGL",1.11
"AGMAT",1.25
"AGMO",1.07
"AGO1",1.04
"AGO2",1.17
"AGO3",1.13
"AGO4",1.14
"AGPAT1",1.13
"AGPAT2",1.05
"AGPAT3",1.12
"AGPAT4",1.05
"AGPAT4-IT1",1.1
"AGPAT5",1.1
"AGPS",1.1
"AGR2",1.46
"AGR3",1.09
"AGRN",1.05
"AGRP",0.93
"AGT",1.11
"AGTPBP1",1.1
"AGTR1",1.12
"AGTR2",1.08
"AGTRAP",1.04
"AGXT",1.08
"AGXT2",1.1
"AHCTF1",1.24
"AHCTF1P1",1.12
"AHCY",1.16
"AHCYL1",1.22
"AHCYL2",1.11
"AHDC1",1.13
"AHI1",1.09
"AHNAK",1.09
"AHNAK2",1.12
"AHR",1.32
"AHRR",1.07
"AHSA1",1.01
"AHSA2",1.24
"AHSG",1.05
"AHSP",1.08
"AICDA",1.15
"AIDA",1.12
"AIF1",0.91
"AIF1L",1.14
"AIFM1",1.12
"AIFM2",1.09
"AIFM3",1.07
"AIG1",1.09
"AIM1",1.19
"AIM1L",1.08
"AIM2",1.06
"AIMP1",1.17
"AIMP2",1.29
"AIP",1.08
"AIPL1",1.06
"AIRE",1.08
"AIRN",0.97
"AJAP1",1.05
"AJUBA",1.19
"AK1",1.12
"AK2",1.24
"AK3",1.15
"AK4",1.16
"AK5",1.09
"AK6",1.18
"AK7",1.09
"AK8",1.05
"AK9",1.06
"AKAIN1",1.09
"AKAP1",1.17
"AKAP10",1.17
"AKAP11",1.13
"AKAP12",1.08
"AKAP13",1.17
"AKAP14",1.07
"AKAP17A",1.08
"AKAP2",1.07
"AKAP3",1.05
"AKAP4",1.03
"AKAP5",1.35
"AKAP6",1.07
"AKAP7",1.09
"AKAP8",1.24
"AKAP8L",1.16
"AKAP9",1.13
"AKIP1",1.16
"AKIRIN1",1.16
"AKIRIN2",1.25
"AKNA",1.09
"AKNAD1",1.13
"AKR1A1",1.17
"AKR1B1",1.11
"AKR1B10",1.11
"AKR1B15",1.02
"AKR1C1",1.1
"AKR1C2",1.06
"AKR1C3",1.09
"AKR1C4",1
"AKR1C6P",1.04
"AKR1C8P",1.06
"AKR1D1",1.11
"AKR1E2",1.12
"AKR7A2",1.05
"AKR7A2P1",1.26
"AKR7A3",1.21
"AKR7L",1.08
"AKT1",1.1
"AKT1S1",1.04
"AKT2",1.09
"AKT3",1.09
"AKTIP",1.12
"ALAD",1.12
"ALAS1",1.12
"ALAS2",1.14
"ALB",1.02
"ALCAM",1.1
"ALDH16A1",1.18
"ALDH18A1",1.13
"ALDH1A1",1.1
"ALDH1A2",1.11
"ALDH1A3",1.11
"ALDH1B1",1.11
"ALDH1L1",1.08
"ALDH1L1-AS1",0.9
"ALDH1L1-AS2",1.05
"ALDH1L2",1.09
"ALDH2",1.04
"ALDH3A1",1.03
"ALDH3A2",1.2
"ALDH3B1",1.08
"ALDH3B2",1.07
"ALDH4A1",1.09
"ALDH5A1",1.15
"ALDH6A1",1.1
"ALDH7A1",1.14
"ALDH8A1",1.04
"ALDH9A1",1.13
"ALDOA",1.4
"ALDOB",1.02
"ALDOC",1.13
"ALG1",1.2
"ALG10",1.16
"ALG10B",1.05
"ALG11",1.01
"ALG12",1.21
"ALG13",1.15
"ALG14",1.08
"ALG1L",1.19
"ALG1L2",1.07
"ALG1L9P",1.13
"ALG2",1.15
"ALG3",1.08
"ALG5",1.16
"ALG6",1.11
"ALG8",1.17
