"gene","top1cc_density"
"ADCYAP1",1.13
"ADCYAP1R1",1.15
"ADD1",1.14
"ADD2",1.16
"ADD3",1.19
"ADD3-AS1",1.2
"ADGB",1.14
"ADGRA1",1.21
"ADGRA1-AS1",1.23
"ADGRA2",1.16
"ADGRA3",1.09
"ADGRB1",1.22
"ADGRB2",1.25
"ADGRB3",1.11
"ADGRD1",1.22
"ADGRE1",1.11
"ADGRE2",1.18
"ADGRE3",1.19
"ADGRE4P",1.1
"ADGRE5",1.25
"ADGRF1",1.17
"ADGRF2",1.18
"ADGRF3",1.24
"ADGRF4",1.16
"ADGRF5",1.15
"ADGRG1",1.2
"ADGRG2",1.11
"ADGRG3",1.14
"ADGRG4",1.13
"ADGRG5",1.15
"ADGRG6",1.11
"ADGRG7",1.2
"ADGRL1",1.21
"ADGRL2",1.12
"ADGRL3",1.08
"ADGRL3-AS1",1.07
"ADGRL4",1.1
"ADGRV1",1.15
"ADH1A",1.14
"ADH1B",1.08
"ADH1C",1.14
"ADH4",1.11
"ADH5",1.15
"ADH6",1.13
"ADH7",1.22
"ADHFE1",1.21
"ADI1",1.22
"ADIG",1.22
"ADIPOQ",1.24
"ADIPOQ-AS1",1.29
"ADIPOR1",1.5
"ADIPOR2",1.18
"ADIRF",1.55
"ADK",1.16
"ADM",1.34
"ADM2",1.35
"ADM5",1.24
"ADNP",1.27
"ADNP-AS1",1.31
"ADNP2",1.06
"ADO",1.15
"ADORA1",1.43
"ADORA2A",1.25
"ADORA2A-AS1",1.24
"ADORA2B",1.19
"ADORA3",1.19
"ADPGK",1.28
"ADPGK-AS1",1.26
"ADPRH",1.26
"ADPRHL1",1.2
"ADPRHL2",1.27
"ADPRM",1.21
"ADRA1A",1.08
"ADRA1B",1.16
"ADRA1D",1.14
"ADRA2A",1.19
"ADRA2B",1.21
"ADRA2C",1.01
"ADRB1",1.12
"ADRB2",1.1
"ADRB3",1.17
"ADRM1",1.34
"ADSL",1.23
"ADSS",1.16
