"gene","dsb_density"
"ANKRD13A",57.29
"ANKRD13B",93.57
"ANKRD13C",46.725
"ANKRD13D",167.46
"ANKRD16",66.875
"ANKRD17",60.71
"ANKRD18A",31.5
"ANKRD18B",29.77
"ANKRD18CP",41.075
"ANKRD18DP",33.14
"ANKRD19P",40.615
"ANKRD2",57.22
"ANKRD20A1",34.78
"ANKRD20A11P",34.1
"ANKRD20A19P",34.265
"ANKRD20A2",30.965
"ANKRD20A3",31.285
"ANKRD20A4",36.01
"ANKRD20A5P",36.42
"ANKRD20A8P",29.765
"ANKRD20A9P",14.76
"ANKRD22",24.65
"ANKRD23",179.21
"ANKRD24",42.08
"ANKRD26",39.575
"ANKRD26P1",24.3
"ANKRD26P3",26.51
"ANKRD27",59.33
"ANKRD28",81.85
"ANKRD29",41.725
"ANKRD30A",28.585
"ANKRD30B",35.895
"ANKRD30BL",99.65
"ANKRD30BP2",35.025
"ANKRD30BP3",26.89
"ANKRD31",25.365
"ANKRD33",29.215
"ANKRD33B",44.66
"ANKRD34A",148.24
"ANKRD34B",43.605
"ANKRD34C",31.72
"ANKRD34C-AS1",33.345
"ANKRD35",98.715
"ANKRD36",59.62
"ANKRD36B",47.1
"ANKRD36BP1",44.045
"ANKRD36BP2",28.775
"ANKRD37",61.26
"ANKRD39",113.855
"ANKRD40",96.99
"ANKRD42",33.54
"ANKRD44",28.18
"ANKRD44-IT1",32.215
"ANKRD45",30.045
"ANKRD46",35.99
"ANKRD49",38.8
"ANKRD50",78.645
"ANKRD52",224.015
"ANKRD53",31.085
"ANKRD54",54.715
"ANKRD55",27.165
"ANKRD6",27.205
"ANKRD60",119.595
"ANKRD61",36.7
"ANKRD62",25.055
"ANKRD62P1-PARP4P3",31.37
"ANKRD63",58.28
"ANKRD65",36.05
"ANKRD66",22.215
"ANKRD7",27.13
"ANKRD9",74.205
"ANKS1A",71.82
"ANKS1B",26.56
"ANKS3",45.725
"ANKS4B",30.485
"ANKS6",72.01
"ANKUB1",37.315
"ANKZF1",98.725
"ANLN",102.725
"ANO1",69.88
"ANO1-AS2",46.46
"ANO10",36.71
"ANO2",25.555
"ANO3",20.755
"ANO4",21.31
"ANO5",20.215
"ANO6",47.905
"ANO7",68.54
"ANO8",54.06
"ANO9",41.93
"ANOS1",17.01
"ANP32A",129.1
"ANP32A-IT1",83.265
"ANP32AP1",370.565
"ANP32B",659.135
"ANP32C",0
"ANP32D",0
"ANP32E",121.475
"ANPEP",84.345
"ANTXR1",27.42
"ANTXR2",16.815
"ANTXRL",47.175
"ANTXRLP1",55.97
"ANXA1",8.795
"ANXA10",28.095
"ANXA11",81.195
"ANXA13",102.4
"ANXA2",53.755
"ANXA2P1",20.505
"ANXA2P2",63.06
"ANXA2P3",40.795
"ANXA2R",43.5
"ANXA3",43.145
"ANXA4",42.225
"ANXA5",42.39
"ANXA6",27.24
"ANXA7",40.625
"ANXA8",97.59
"ANXA8L1",100.925
"ANXA9",84.235
"AOAH",23.43
"AOAH-IT1",23.835
"AOC1",21.62
"AOC2",44.48
"AOC3",23.38
"AOC4P",39.305
"AOX1",30.265
"AOX3P-AOX2P",31.36
"AP1AR",58.61
"AP1B1",64.235
"AP1B1P1",33.265
"AP1G1",108.78
"AP1G2",95.74
"AP1M1",51.54
"AP1M2",57.74
"AP1S1",187.105
"AP1S2",38.21
"AP1S3",60.07
"AP2A1",64.345
"AP2A2",30.315
"AP2B1",24.905
"AP2M1",150.555
"AP2S1",93.08
"AP3B1",35.79
"AP3B2",52.65
"AP3D1",67.93
"AP3M1",46.015
"AP3M2",44.79
"AP3S1",30.835
"AP3S2",77.41
"AP4B1",323.165
"AP4B1-AS1",185.03
"AP4E1",79.155
"AP4M1",57.76
"AP4S1",51.575
"AP5B1",81.375
"AP5M1",42.365
"AP5S1",91.185
"AP5Z1",79.905
"APAF1",45.08
"APBA1",19.825
"APBA2",18.395
"APBA3",42.385
"APBB1",23.255
"APBB1IP",26.315
"APBB2",45.605
"APBB3",60.145
"APC",34.2
"APC2",63.85
"APCDD1",31.17
"APCDD1L",72.675
"APCDD1L-AS1",68.465
"APCS",0
"APEH",71.845
"APELA",31.86
"APEX1",320.825
"APEX2",46.98
"APH1A",157.075
"APH1B",50.125
"API5",48.515
"APIP",35.875
"APITD1-CORT",31.165
"APLF",22.985
"APLN",30.72
"APLNR",28.285
"APLP1",45.455
"APLP2",55.525
"APMAP",70.305
"APOA1",0
"APOA1-AS",23.53
"APOA2",142.555
"APOA4",21.015
"APOA5",44.39
"APOB",34.46
"APOBEC1",29.49
"APOBEC2",39.675
"APOBEC3A",48.15
"APOBEC3A_B",41.65
"APOBEC3B",54.85
"APOBEC3B-AS1",60.665
"APOBEC3C",24.035
"APOBEC3D",44.875
"APOBEC3F",54.955
"APOBEC3G",53.08
"APOBEC3H",19.965
"APOBEC4",27.075
"APOBR",119.385
"APOC1",31.715
"APOC1P1",71.75
"APOC2",23.055
"APOC3",25.755
"APOC4",33.46
"APOC4-APOC2",26.165
"APOD",42.095
"APOE",112.05
"APOF",97.31
"APOH",32.97
"APOL1",39.575
"APOL2",53.62
"APOL3",34.77
"APOL4",48.5
"APOL5",23.485
"APOL6",49.03
"APOLD1",45.33
"APOM",14.05
"APOO",31.84
"APOOL",21.68
"APOOP5",51.84
"APOPT1",59.455
"APP",47.905
"APPBP2",319.73
"APPL1",32.79
"APPL2",59.75
"APRT",242.945
"APTR",44.67
"APTX",35.685
"AQP1",31.6
"AQP10",83.98
"AQP11",69.56
"AQP12A",98.215
"AQP12B",146.795
"AQP2",46.535
"AQP3",114.005
"AQP4",23.78
"AQP4-AS1",27.78
"AQP5",71.415
"AQP6",75.495
"AQP7",30.755
"AQP7P1",48.12
"AQP7P3",36.59
"AQP8",34.05
"AQP9",14.27
"AQR",29.89
"AR",19.4
"ARAF",93.52
"ARAP1",77.98
"ARAP2",17.25
"ARAP3",42.51
"ARC",79
"ARCN1",56.085
"AREG",528.935
"AREL1",49.445
"ARF1",175.62
"ARF3",114.405
"ARF4",42.96
"ARF4-AS1",26.245
"ARF5",72.89
"ARF6",142.03
"ARFGAP1",109.27
"ARFGAP2",144.72
"ARFGAP3",45.66
"ARFGEF1",52.585
"ARFGEF2",61.565
"ARFGEF3",52.89
"ARFIP1",44.665
"ARFIP2",72.46
"ARFRP1",81.585
"ARG1",19.65
"ARG2",40.905
"ARGFX",31.215
"ARGFXP2",68.61
"ARGLU1",52.64
"ARHGAP1",77.36
"ARHGAP10",50.305
"ARHGAP11A",51.815
"ARHGAP11B",20.15
"ARHGAP12",62.96
"ARHGAP15",16.93
"ARHGAP17",58.88
"ARHGAP18",32.55
"ARHGAP19",39.445
"ARHGAP19-SLIT1",40.97
"ARHGAP20",17.425
"ARHGAP21",45.445
"ARHGAP22",34.74
"ARHGAP23",21.685
"ARHGAP24",22.15
"ARHGAP25",24.245
"ARHGAP26",61.27
"ARHGAP26-AS1",67.42
"ARHGAP26-IT1",48.87
"ARHGAP27",35.25
"ARHGAP27P1",96.675
"ARHGAP27P1-BPTFP1-KPNA2P3",69.185
"ARHGAP28",25.5
"ARHGAP29",32.475
"ARHGAP30",55.69
"ARHGAP31",28.785
"ARHGAP31-AS1",41.895
"ARHGAP32",28.25
"ARHGAP33",53.36
"ARHGAP35",71.435
"ARHGAP36",36.915
"ARHGAP39",76.005
"ARHGAP4",28.94
"ARHGAP40",31.425
"ARHGAP42",21.58
"ARHGAP44",30.91
"ARHGAP45",40.98
"ARHGAP5",58.605
"ARHGAP5-AS1",85.535
"ARHGAP6",15.41
"ARHGAP8",80.32
"ARHGAP9",27.325
"ARHGDIA",388.325
"ARHGDIB",33.04
"ARHGDIG",90.455
"ARHGEF1",63.81
"ARHGEF10",33.185
"ARHGEF10L",57.82
"ARHGEF11",65.145
"ARHGEF12",37.065
"ARHGEF15",35.295
"ARHGEF16",43.1
"ARHGEF17",76.685
"ARHGEF18",55.135
"ARHGEF19",36.65
"ARHGEF2",74.865
"ARHGEF25",57.675
"ARHGEF26",35.71
"ARHGEF26-AS1",35.155
"ARHGEF28",33.565
"ARHGEF3",23.795
"ARHGEF3-AS1",22.255
"ARHGEF33",40.765
"ARHGEF34P",71.695
"ARHGEF35",116.405
"ARHGEF37",39.405
"ARHGEF38",35.51
"ARHGEF38-IT1",41.105
"ARHGEF39",41.18
"ARHGEF4",44.07
"ARHGEF40",63.875
"ARHGEF5",91.01
"ARHGEF6",29.41
"ARHGEF7",32.465
"ARHGEF7-AS1",6.33
"ARHGEF7-AS2",28.885
"ARHGEF9",22.215
"ARHGEF9-IT1",0
"ARID1A",90.535
"ARID1B",47.665
"ARID2",70.39
"ARID3A",58.69
"ARID3B",41.67
"ARID3C",41.23
"ARID4A",58.065
"ARID4B",64.7
"ARID5A",46.265
"ARID5B",35.775
"ARIH1",78.65
"ARIH2",70.96
"ARIH2OS",152.945
"ARL1",55.49
"ARL10",47.305
"ARL11",48.705
"ARL13A",32.175
"ARL13B",38.25
"ARL14",41.865
"ARL14EP",25.2
"ARL14EPL",28.61
"ARL15",27.7
"ARL16",74.745
"ARL17A",29.575
"ARL17B",30.59
"ARL2",47.495
"ARL2-SNX15",67.06
"ARL2BP",22.265
"ARL3",44.2
"ARL4A",86.645
"ARL4C",47.625
"ARL4D",37.865
"ARL5A",52.76
"ARL5B",60.215
"ARL5C",49.795
"ARL6",35.645
"ARL6IP1",130.78
"ARL6IP4",586.78
"ARL6IP5",33.575
"ARL6IP6",38.34
"ARL8A",142.195
"ARL8B",97.015
"ARL9",26.365
"ARMC1",35.175
"ARMC10",51.585
"ARMC12",57.155
"ARMC2",31.145
"ARMC2-AS1",28.985
"ARMC3",26.905
"ARMC4",26.4
"ARMC4P1",29.595
"ARMC5",110.155
"ARMC6",46.6
"ARMC7",72.6
"ARMC8",52.075
"ARMC9",47.28
"ARMCX1",32.96
"ARMCX2",29.5
"ARMCX3",52.5
"ARMCX4",31.045
"ARMCX5",38.305
"ARMCX5-GPRASP2",33.24
"ARMCX6",113.625
"ARMS2",10.025
"ARMT1",47.525
"ARNT",77
"ARNT2",64.765
"ARNTL",34.595
"ARNTL2",35.235
"ARNTL2-AS1",30.705
"ARPC1A",58.745
"ARPC1B",103.355
"ARPC2",66
"ARPC3",96.94
"ARPC4",125.255
"ARPC4-TTLL3",134.53
"ARPC5",100.865
"ARPC5L",71.57
"ARPIN",81.16
