"cell_line","cell_type","gene","break_density","ratio_non_se"
"HEK293","normal","SCYL1",24.3273333333333,1.57706818137127
"HEK293","normal","LTBP3",26.505,1.71823979120518
"HEK293","normal","FAM89B",291.871666666667,18.9211662551232
"HEK293","normal","EHBP1L1",8.395,0.544222714475287
"HEK293","normal","RELA",20.242,1.31222825329467
"HEK293","normal","FAT3",22.6556666666667,1.46869903651943
"HEK293","normal","SLC36A4",35.932,2.32936397576248
"HEK293","normal","CXCR5",62.716,4.06569050161192
"HEK293","normal","BCL9L",36.984,2.39756198596236
"HEK293","normal","MIR4492",0,0
"HEK293","normal","UPK2",24.5166666666667,1.58934209448709
"HEK293","normal","FOXR1",34.6216666666667,2.24441898904013
"HEK293","normal","WNT5B",36.841,2.3882917241196
"HEK293","normal","FBXL14",18.8873333333333,1.22440926931105
"HEK293","normal","PLEKHG6",61.703,4.00002074464189
"HEK293","normal","TNFRSF1A",63.9216666666667,4.14385026171743
"HEK293","normal","SCNN1A",25.4093333333333,1.64721100174795
"HEK293","normal","LTBR",11.6256666666667,0.753657161514973
"HEK293","normal","MRPL51",71.267,4.62002622900658
"HEK293","normal","NCAPD2",42.8753333333333,2.77947948668248
"HEK293","normal","SCARNA10",0,0
"HEK293","normal","GAPDH",117.345,7.60712500656373
"HEK293","normal","IFFO1",27.5193333333333,1.78399598418307
"HEK293","normal","NOP2",50.1056666666667,3.24820034829389
"HEK293","normal","SCARNA11",0,0
"HEK293","normal","LPAR5",49.858,3.23214485983429
"HEK293","normal","COPS7A",48.8776666666667,3.16859278505677
"HEK293","normal","MLF2",26.8826666666667,1.74272279043093
"HEK293","normal","PTMS",0,0
"HEK293","normal","LAG3",0,0
"HEK293","normal","CD4",0,0
"HEK293","normal","GPR162",0,0
"HEK293","normal","P3H3",22.827,1.47980606352917
"HEK293","normal","TPI1",68.1893333333333,4.42051031386859
"HEK293","normal","KLRC4-KLRK1",32.7603333333333,2.12375432207051
"HEK293","normal","KLRK1",23.22,1.50528307684528
"HEK293","normal","KLRC4",0,0
"HEK293","normal","GPR19",34.562,2.24055097768849
"HEK293","normal","CDKN1B",47.3083333333333,3.06685760380803
"HEK293","normal","APOLD1",40.8843333333333,2.65040891794867
"HEK293","normal","MIR613",0,0
"HEK293","normal","RPL13AP20",0,0
"HEK293","normal","GPRC5A",37.2256666666667,2.4132285123866
"HEK293","normal","MIR614",0,0
"HEK293","normal","FAM234B",71.2443333333333,4.618556816873
"HEK293","normal","GSG1",175.661333333333,11.3875982912466
"HEK293","normal","LMNTD1",28.849,1.87019429301936
"HEK293","normal","RASSF8",21.9236666666667,1.42124566820544
"HEK293","normal","BHLHE41",121.871666666667,7.9005752532413
"HEK293","normal","FLJ13224",172.500333333333,11.1826801256174
"HEK293","normal","PRICKLE1",23.1036666666667,1.49774153515968
"HEK293","normal","LINC00938",74.5896666666667,4.83542476058847
"HEK293","normal","ARID2",30.412,1.97151890323078
"HEK293","normal","PRKAG1",8.431,0.54655648668745
"HEK293","normal","KMT2D",29.1563333333333,1.89011779283061
"HEK293","normal","RHEBL1",0,0
"HEK293","normal","DHH",17.1123333333333,1.10934133385022
"HEK293","normal","LMBR1L",53.1853333333333,3.44784591744367
"HEK293","normal","KRT78",0,0
"HEK293","normal","KRT8",34.3396666666667,2.22613777337819
"HEK293","normal","KRT18",211.562666666667,13.7149742388283
"HEK293","normal","HOXC13-AS",60.511,3.92274695361693
"HEK293","normal","HOXC13",18.0706666666667,1.17146721449808
"HEK293","normal","HOXC12",34.3853333333333,2.22909820664732
"HEK293","normal","HOTAIR",89.5456666666667,5.8049774607305
"HEK293","normal","HOXC11",115.908666666667,7.51401181709881
"HEK293","normal","HOXC-AS3",0,0
"HEK293","normal","HOXC10",0,0
"HEK293","normal","HOXC6",53.7906666666667,3.48708786501116
"HEK293","normal","MIR196A2",0,0
"HEK293","normal","HOXC-AS2",0,0
"HEK293","normal","HOXC9",39.2676666666667,2.54560525842097
"HEK293","normal","HOXC-AS1",0,0
"HEK293","normal","HOXC8",0,0
"HEK293","normal","HOXC4",97.184,6.30014774074643
"HEK293","normal","HOXC5",233.547666666667,15.1401959633952
"HEK293","normal","MIR615",0,0
"HEK293","normal","FLJ12825",67.026,4.34509489701258
"HEK293","normal","SMUG1",7.97233333333333,0.516822499984333
"HEK293","normal","CBX5",33.3153333333333,2.15973331034136
"HEK293","normal","AVIL",6.52633333333333,0.423082649462444
"HEK293","normal","CTDSP2",10.4016666666667,0.674308906301423
"HEK293","normal","MIR26A2",0,0
"HEK293","normal","LRIG3",28.4876666666667,1.84677013488987
"HEK293","normal","RPSAP52",20.4626666666667,1.32653341259515
"HEK293","normal","HMGA2",59.621,3.86505091837178
"HEK293","normal","DUSP6",165.464,10.7265357031494
"HEK293","normal","USP44",20.967,1.3592278325674
"HEK293","normal","NUAK1",47.2846666666667,3.06532336466855
"HEK293","normal","ATXN2",28.6693333333333,1.85854704096051
"HEK293","normal","RNFT2",32.303,2.09410677137525
"HEK293","normal","RHOF",72.7003333333333,4.71294493745382
"HEK293","normal","LINC01089",46.3613333333333,3.00546642922695
"HEK293","normal","SETD1B",68.774,4.45841250331428
"HEK293","normal","HPD",44.1893333333333,2.86466217242644
"HEK293","normal","NCOR2",31.755,2.05858157214565
"HEK293","normal","UBC",48.3603333333333,3.13505561400791
"HEK293","normal","MIR5188",0,0
"HEK293","normal","DHX37",20.183,1.30840345994696
"HEK293","normal","FGF9",15.6666666666667,1.0156230923303
"HEK293","normal","USP12-AS1",30.5903333333333,1.98307971928178
"HEK293","normal","ELF1",30.414,1.97164855724257
"HEK293","normal","WBP4",47.2766666666667,3.0648047486214
"HEK293","normal","MIR3168",0,0
"HEK293","normal","DLEU2",38.7753333333333,2.51368876251945
"HEK293","normal","DLEU1",35.389,2.29416291156235
"HEK293","normal","ST13P4",0,0
"HEK293","normal","DACH1",54.269,3.51809678283018
"HEK293","normal","KLF12",62.2696666666667,4.03675604798149
"HEK293","normal","SPRY2",253.770333333333,16.451170894576
"HEK293","normal","ZIC5",53.491,3.4676613722451
"HEK293","normal","ZIC2",108.382333333333,7.02610216174295
"HEK293","normal","LINC00554",0,0
"HEK293","normal","OR6S1",0,0
"HEK293","normal","ANG",54.1486666666667,3.510295933121
"HEK293","normal","RNASE4",59.6306666666667,3.86567757942875
"HEK293","normal","ARHGAP5",58.1496666666667,3.76966878370059
"HEK293","normal","RNU6-7",0,0
"HEK293","normal","EAPP",30.0613333333333,1.94878623316416
"HEK293","normal","BAZ1A",21.1376666666667,1.37029164157321
"HEK293","normal","FOXA1",243.695333333333,15.7980388101997
"HEK293","normal","TTC6",31.4123333333333,2.03636751812617
"HEK293","normal","RPS29",100.976666666667,6.54601496509822
"HEK293","normal","RN7SL1",6426.03566666667,416.580652034347
"HEK293","normal","LRR1",58.084,3.76541181031359
"HEK293","normal","RPL36AL",407.185333333333,26.3966060037155
"HEK293","normal","MGAT2",0,0
"HEK293","normal","DNAAF2",27.683,1.79460600414763
"HEK293","normal","POLE2",24.8813333333333,1.61298234263622
"HEK293","normal","KLHDC2",46.7716666666667,3.03206711064522
"HEK293","normal","SALRNA1",0,0
"HEK293","normal","SIX1",119.917333333333,7.77388167472358
"HEK293","normal","SIX4",44.763,2.9018512648073
"HEK293","normal","MNAT1",25.721,1.66741541858474
"HEK293","normal","ZBTB25",55.5686666666667,3.60235028148966
"HEK293","normal","AKAP5",73.4846666666667,4.76379091907623
"HEK293","normal","ZBTB1",41.8436666666667,2.71259962560243
"HEK293","normal","HSPA2",159.578333333333,10.3449855554626
