"gene","rloop_density"
"ALDOA",9.06
"ALDOB",0.87
"ALDOC",1.98
"ALG1",2.35
"ALG10",0.68
"ALG10B",0.77
"ALG11",1.79
"ALG12",4.5
"ALG13",3.22
"ALG14",0.97
"ALG1L",2.88
"ALG1L2",1.68
"ALG1L9P",2.27
"ALG2",1.74
"ALG3",3.44
"ALG5",1.45
"ALG6",1.07
"ALG8",1.41
"ALG9",0.97
"ALK",0.79
"ALKBH1",1.54
"ALKBH2",2.18
"ALKBH3",0.93
"ALKBH3-AS1",0.99
"ALKBH4",3.83
"ALKBH5",2.16
"ALKBH6",6.17
"ALKBH7",5.78
"ALKBH8",1.05
"ALLC",0.83
"ALMS1",1.04
"ALMS1-IT1",1.01
"ALMS1P1",0.82
"ALOX12",1.53
"ALOX12-AS1",1.51
"ALOX12B",0.99
"ALOX12P2",1.28
"ALOX15",1.26
"ALOX15B",0.98
"ALOX15P1",1.44
"ALOX5",1.14
"ALOX5AP",0.81
"ALOXE3",1.22
"ALPI",0.8
"ALPK1",1
"ALPK2",0.98
"ALPK3",0.99
"ALPL",0.93
"ALPP",0.95
"ALPPL2",0.91
"ALS2",1.09
"ALS2CL",1.71
"ALS2CR11",0.83
"ALS2CR12",0.96
"ALX1",0.63
"ALX3",1.59
"ALX4",1.18
"ALYREF",8.02
"AMACR",1.15
"AMBN",0.86
"AMBP",1.33
"AMBRA1",1.33
"AMD1",1.39
"AMDHD1",1.01
"AMDHD2",10.41
"AMELX",0.91
"AMER1",1.77
"AMER2",0.76
"AMER3",0.84
"AMFR",1.46
"AMH",15.9
"AMHR2",0.89
"AMIGO1",2.28
"AMIGO2",1.15
"AMIGO3",18.5
"AMMECR1",1.06
"AMMECR1L",2.11
"AMN",8.06
"AMN1",1.01
"AMOT",0.85
"AMOTL1",1.18
"AMOTL2",6.48
"AMPD1",0.55
"AMPD2",5.07
"AMPD3",1.04
"AMPH",0.78
"AMT",4.13
"AMTN",0.9
"AMY1A",0.69
"AMY1B",0.69
"AMY1C",0.69
"AMY2A",0.71
"AMY2B",1.02
"AMZ1",2.98
"AMZ2",1.03
"AMZ2P1",1.04
"ANAPC1",1.13
"ANAPC10",1.05
"ANAPC11",8.45
