"gene","rloop_density"
"DDX56",8.99
"DDX58",1.27
"DDX59",1.24
"DDX6",2.01
"DDX60",0.9
"DDX60L",0.85
"DEAF1",2.75
"DECR1",0.91
"DECR2",4.46
"DEDD",2.37
"DEDD2",2.01
"DEF6",2.13
"DEF8",1.51
"DEFA1",0.74
"DEFA10P",0.77
"DEFA11P",1.01
"DEFA3",0.63
"DEFA4",0.74
"DEFA5",0.68
"DEFA6",0.8
"DEFA8P",0.65
"DEFA9P",0.84
"DEFB1",1.11
"DEFB103A",1.35
"DEFB104A",0.85
"DEFB105A",0.67
"DEFB106A",1.14
"DEFB107A",0.85
"DEFB108B",0.67
"DEFB109P1",0.85
"DEFB109P1B",0.88
"DEFB110",0.74
"DEFB112",0.78
"DEFB113",0.77
"DEFB114",0.72
"DEFB115",0.92
"DEFB116",0.64
"DEFB118",0.89
"DEFB119",0.9
"DEFB121",0.73
"DEFB122",0.91
"DEFB123",0.87
"DEFB124",1.08
"DEFB125",0.98
"DEFB126",0.96
"DEFB127",0.96
"DEFB128",0.63
"DEFB129",1
"DEFB130",0.9
"DEFB131",0.85
"DEFB132",0.99
"DEFB133",0.64
"DEFB134",0.83
"DEFB135",0.78
"DEFB136",1.01
"DEFB4A",0.89
"DEFB4B",0.9
"DEFT1P",0.72
"DEGS1",1.28
"DEGS2",4.37
"DEK",2.67
"DENND1A",1.22
"DENND1B",0.91
"DENND1C",2.05
"DENND2A",0.92
"DENND2C",0.66
"DENND2D",6.04
"DENND3",1.45
"DENND4A",1.07
"DENND4B",6.21
"DENND4C",1.19
"DENND5A",1.2
"DENND5B",1.02
"DENND5B-AS1",1.11
"DENND6A",1.18
"DENND6B",2.04
"DENR",2.56
"DEPDC1",1.12
"DEPDC1-AS1",0.9
"DEPDC1B",1.28
"DEPDC4",1.14
"DEPDC5",1.23
"DEPDC7",0.85
"DEPTOR",1.03
"DERA",1.03
"DERL1",1.56
"DERL2",2.14
"DERL3",7.17
"DES",0.87
"DESI1",2.38
"DESI2",1.07
"DET1",1.15
"DEUP1",0.89
"DEXI",2.2
"DFFA",2.71
"DFFB",1.31
"DFNA5",1.21
"DFNB59",1.25
"DGAT1",19.81
"DGAT2",1
"DGAT2L6",0.94
"DGCR10",0.65
"DGCR11",2.26
"DGCR14",1.55
"DGCR2",1.82
"DGCR5",1.67
"DGCR6",2.5
"DGCR6L",1.36
"DGCR8",5.79
"DGCR9",1.42
"DGKA",1.37
"DGKB",0.8
"DGKD",1.93
"DGKE",1.25
"DGKG",0.84
"DGKH",1.18
"DGKI",0.82
"DGKK",0.83
"DGKQ",4.9
"DGKZ",4.21
"DGUOK",1.97
"DGUOK-AS1",1.96
"DHCR24",3.09
"DHCR7",4.08
"DHDDS",2.5
"DHDH",1.16
"DHFR",1.89
"DHFR2",1.18
"DHFRP3",1.18
"DHH",1.2
"DHODH",1.61
"DHPS",14.32
"DHRS1",2.18
"DHRS11",3.18
"DHRS12",1.68
"DHRS13",6.29
"DHRS2",1.11
"DHRS3",2.08
"DHRS4",1.96
"DHRS4-AS1",1.15
"DHRS4L1",1.06
"DHRS4L2",1.47
"DHRS7",1.38
"DHRS7B",1.19
"DHRS7C",0.85
"DHRS9",0.84
"DHRSX",1.23
"DHTKD1",2.15
"DHX15",1.64
"DHX16",1.56
"DHX29",1.04
"DHX30",5.43
"DHX32",1.91
"DHX33",1.65
"DHX34",4.13
"DHX35",1.22
"DHX36",1.75
"DHX37",2.7
"DHX38",3.03
"DHX40",1.05
"DHX57",1.66
"DHX58",1.64
"DHX8",1.71
"DHX9",2.74
"DIABLO",2.93
"DIAPH1",1.77
"DIAPH2",0.91
"DIAPH2-AS1",0.86
"DIAPH3",0.97
"DIAPH3-AS1",0.99
"DIAPH3-AS2",1.1
"DICER1",1.43
"DICER1-AS1",1.63
"DIDO1",4.55
"DIEXF",1.37
"DIGIT",2.6
"DIMT1",1.87
"DINO",8.46
"DIO1",1.43
"DIO2",0.77
"DIO2-AS1",0.77
"DIO3",1.72
"DIO3OS",1.53
"DIP2A",0.97
"DIP2A-IT1",0.88
"DIP2B",1.28
"DIP2C",1.34
"DIRAS1",2.54
"DIRAS2",0.85
"DIRAS3",0.79
"DIRC1",0.86
"DIRC2",0.99
"DIRC3",0.85
"DIRC3-AS1",0.8
"DIS3",1.44
"DIS3L",1.52
"DIS3L2",1.28
"DISC1",0.89
"DISC1-IT1",0.88
"DISC1FP1",0.88
"DISC2",0.89
"DISP1",0.91
"DISP2",1.07
"DISP3",1.67
"DIXDC1",1.04
"DKC1",3.05
"DKFZP434A062",3.19
"DKFZP434H168",1.02
"DKFZP434I0714",3.54
"DKFZP434K028",1.12
"DKFZP434L187",0.82
"DKFZP434L192",1.18
"DKFZP451B082",1.02
"DKFZP586I1420",2.07
"DKFZP686K1684",0.79
"DKFZP779M0652",1.2
"DKK1",1.25
"DKK2",0.81
"DKK3",0.88
"DKK4",0.84
"DKKL1",1.17
"DLAT",1.16
"DLC1",1
"DLD",0.78
"DLEC1",1.45
"DLEU1",1.12
"DLEU1-AS1",1.46
"DLEU2",1.6
"DLEU2L",0.72
"DLEU7",0.96
"DLEU7-AS1",0.9
"DLG1",1.01
"DLG1-AS1",1.19
"DLG2",0.76
"DLG3",1.96
"DLG3-AS1",3.02
"DLG4",1.54
"DLG5",2.12
"DLG5-AS1",2.2
"DLGAP1",0.86
"DLGAP1-AS1",3.27
"DLGAP1-AS2",1.97
"DLGAP1-AS3",0.92
"DLGAP1-AS4",0.8
"DLGAP1-AS5",0.82
"DLGAP2",0.92
"DLGAP2-AS1",0.95
"DLGAP3",0.89
"DLGAP4",1.41
"DLGAP4-AS1",1.52
"DLGAP5",1.06
"DLK1",0.8
"DLK2",3.89
"DLL1",2.08
"DLL3",0.92
"DLL4",1.34
"DLST",1.68
"DLSTP1",1.52
"DLX1",3.45
"DLX2",0.99
"DLX2-AS1",0.76
"DLX3",1.43
"DLX4",1.07
"DLX5",0.67
"DLX6",0.76
"DLX6-AS1",0.76
"DMAP1",4.57
"DMBT1",0.72
"DMBT1P1",0.83
"DMBX1",0.97
"DMC1",1.01
"DMD",0.85
"DMGDH",0.8
"DMKN",4.83
"DMP1",0.87
"DMPK",21.01
"DMRT1",0.88
"DMRT2",0.9
"DMRT3",0.82
"DMRTA1",1.18
"DMRTA2",0.94
"DMRTB1",0.78
"DMRTC1",0.88
"DMRTC2",0.91
"DMTF1",1.6
"DMTN",1.65
"DMWD",6.65
"DMXL1",1.06
"DMXL2",0.88
"DNA2",1.33
"DNAAF1",1.65
"DNAAF2",2.35
"DNAAF3",1.04
"DNAAF5",2.11
"DNAH1",1.9
"DNAH10",0.98
"DNAH11",0.9
"DNAH12",0.91
"DNAH14",0.9
"DNAH17",1.2
"DNAH17-AS1",1.05
"DNAH2",1.16
"DNAH3",0.94
"DNAH5",0.85
"DNAH6",0.81
"DNAH7",0.86
"DNAH8",0.83
"DNAH9",0.87
"DNAI1",1.04
"DNAI2",0.94
"DNAJA1",1.69
"DNAJA1P5",0.81
"DNAJA2",1.57
"DNAJA3",2.3
"DNAJA4",1.83
"DNAJB1",2.79
"DNAJB11",2.89
"DNAJB12",3.83
"DNAJB13",2.72
"DNAJB14",1.53
"DNAJB2",2.08
"DNAJB3",0.99
"DNAJB4",1.1
"DNAJB5",1.58
"DNAJB5-AS1",1.22
"DNAJB6",2.38
"DNAJB7",1.63
"DNAJB8",0.82
"DNAJB8-AS1",0.85
"DNAJB9",1.07
"DNAJC1",1.18
"DNAJC10",1.14
"DNAJC11",2.08
"DNAJC12",0.93
"DNAJC13",1.13
"DNAJC14",3.66
"DNAJC15",1.05
"DNAJC16",1.58
"DNAJC17",2.32
"DNAJC18",1.26
"DNAJC19",1.03
"DNAJC2",2.56
"DNAJC21",1.37
"DNAJC22",1.43
"DNAJC24",1
"DNAJC25",1.61
"DNAJC25-GNG10",1.49
"DNAJC27",1.34
"DNAJC27-AS1",1
"DNAJC28",0.96
"DNAJC3",1.36
"DNAJC3-AS1",1.37
"DNAJC30",9.96
"DNAJC4",7.08
"DNAJC5",1.85
"DNAJC5B",0.82
"DNAJC5G",0.74
"DNAJC6",0.91
"DNAJC7",2.63
"DNAJC8",1.29
"DNAJC9",3.59
"DNAJC9-AS1",1.45
"DNAL1",0.96
"DNAL4",1.83
"DNALI1",2.36
"DNASE1",10.03
"DNASE1L1",4.83
"DNASE1L2",11.87
"DNASE1L3",0.96
"DNASE2",3.1
"DNASE2B",0.82
"DND1",17.56
"DNER",0.8
"DNHD1",1.37
"DNLZ",22.57
"DNM1",3.35
"DNM1L",1.13
"DNM1P35",1.89
"DNM1P41",2.91
"DNM1P46",0.79
"DNM2",5.31
"DNM3",0.77
"DNM3-IT1",0.96
"DNM3OS",0.79
"DNMBP",1.54
"DNMBP-AS1",1.54
"DNMT1",4.03
"DNMT3A",1.86
"DNMT3B",1.77
"DNMT3L",1.28
"DNPEP",6.25
"DNPH1",6.57
"DNTT",0.86
"DNTTIP1",2.65
"DNTTIP2",1.63
"DOC2A",7.93
"DOC2B",0.92
"DOC2GP",10.64
"DOCK1",1.55
"DOCK10",0.82
"DOCK11",0.87
"DOCK2",0.76
"DOCK3",0.92
"DOCK4",0.82
"DOCK4-AS1",0.64
"DOCK5",1.37
"DOCK6",3.79
"DOCK7",0.98
"DOCK8",0.89
"DOCK9",1.11
"DOCK9-AS1",0.87
"DOCK9-AS2",2.87
"DOHH",3.34
"DOK1",2.93
"DOK2",0.83
"DOK3",14.73
"DOK4",3.78
"DOK5",0.5
"DOK6",0.94
"DOK7",10.98
"DOLK",3.1
"DOLPP1",3.16
"DONSON",1.96
"DOPEY1",1.02
"DOPEY2",1.9
"DOT1L",4.99
"DPAGT1",1.86
"DPCD",2.97
"DPCR1",0.79
"DPEP1",1.93
"DPEP2",0.89
"DPEP3",0.73
"DPF1",2.97
"DPF2",2.82
"DPF3",0.81
"DPH1",4.78
"DPH2",2.02
"DPH3",1.63
"DPH3P1",2.27
"DPH5",1.14
"DPH6",0.99
"DPH6-AS1",0.9
"DPH7",2.38
"DPM1",1.79
"DPM2",6.94
"DPM3",1.6
"DPP10",0.81
"DPP10-AS1",0.82
"DPP10-AS3",0.87
"DPP3",2.99
"DPP4",0.81
"DPP6",0.87
"DPP7",9.9
"DPP8",1.33
"DPP9",4.42
"DPP9-AS1",5.18
"DPPA2",0.9
"DPPA2P3",1.68
"DPPA3",0.85
"DPPA4",0.88
"DPPA5",0.83
"DPRX",0.86
"DPRXP4",0.73
"DPT",0.73
"DPY19L1",0.92
"DPY19L1P1",1.24
"DPY19L1P2",0.86
"DPY19L2",0.76
"DPY19L2P1",0.75
"DPY19L2P2",0.77
"DPY19L2P3",1.31
"DPY19L2P4",0.85
"DPY19L3",1.37
"DPY19L4",1.06
"DPY30",1.29
"DPYD",0.82
"DPYD-AS1",0.79
"DPYD-AS2",0.82
"DPYS",0.76
"DPYSL2",1.09
"DPYSL3",0.83
"DPYSL4",4.72
"DPYSL5",0.87
"DQX1",3.92
"DR1",1.06
"DRAIC",0.8
"DRAM1",1.26
"DRAM2",1.71
"DRAP1",8.66
"DRAXIN",1.1
"DRC1",0.83
"DRC3",1.43
"DRC7",1.05
"DRD1",0.97
"DRD2",0.88
"DRD3",0.77
"DRD4",9.94
"DRD5",1
"DRD5P2",1.02
"DRG1",1.89
"DRG2",4.25
"DRGX",0.87
"DRICH1",1.01
"DROSHA",1.24
"DRP2",0.89
"DSC1",0.75
"DSC2",1.02
"DSC3",0.75
"DSCAM",1.03
"DSCAM-AS1",5.62
"DSCAM-IT1",0.77
"DSCAML1",0.91
"DSCAS",0.85
"DSCC1",1.35
"DSCR10",0.83
"DSCR3",2.64
"DSCR4",0.76
"DSCR8",0.67
"DSCR9",1.82
"DSE",1.02
"DSEL",0.99
"DSG1",0.9
"DSG1-AS1",0.89
"DSG2",1.23
"DSG2-AS1",1.11
"DSG3",0.74
"DSG4",0.82
"DSN1",1.37
"DSP",1.77
"DSPP",0.93
"DST",0.98
"DSTN",2.3
"DSTNP2",1.98
"DSTYK",1.52
"DTD1",1.01
"DTD2",1.08
"DTHD1",0.9
"DTL",1.32
"DTNA",1.1
"DTNB",1.19
"DTNBP1",1.21
"DTWD1",1.2
"DTWD2",1.03
"DTX1",1.18
"DTX2",3.11
"DTX2P1-UPK3BP1-PMS2P11",4.06
"DTX3",1.88
"DTX3L",2.05
"DTX4",1.28
"DTYMK",3.05
"DUBR",0.83
"DUOX1",1.56
"DUOX2",0.92
"DUOXA1",1.03
"DUOXA2",0.92
"DUPD1",0.99
"DUS1L",12.88
"DUS2",1.6
"DUS3L",13.3
"DUS4L",1.12
"DUSP1",6.78
"DUSP10",1.2
"DUSP11",1.27
"DUSP12",1.69
"DUSP13",0.89
"DUSP14",1.63
"DUSP15",1.03
"DUSP16",1.38
"DUSP18",1.1
"DUSP19",0.93
"DUSP2",5.6
"DUSP21",0.63
"DUSP22",0.75
"DUSP23",1.54
"DUSP26",0.97
"DUSP27",0.8
"DUSP28",3.94
"DUSP3",3.38
"DUSP4",11.87
"DUSP5",4.73
"DUSP5P1",15.22
"DUSP6",3.84
"DUSP7",2.15
"DUSP8",6.57
"DUSP9",1.09
"DUT",2.01
"DUX4",1.13
"DUXA",1.03
"DUXAP10",2.43
"DUXAP8",2.35
"DVL1",4.61
"DVL2",4.33
"DVL3",3.75
"DXO",6.12
"DYDC1",0.82
"DYDC2",0.82
"DYM",1.03
"DYNAP",0.92
"DYNC1H1",3.25
"DYNC1I1",0.78
"DYNC1I2",1
"DYNC1LI1",1.02
"DYNC1LI2",1.77
"DYNC2H1",0.93
"DYNC2LI1",0.92
"DYNLL1",2.65
"DYNLL2",3.53
"DYNLRB1",2.2
"DYNLRB2",0.91
"DYNLT1",2.87
"DYNLT3",0.89
"DYRK1A",1.25
"DYRK1B",11.79
"DYRK2",4.13
"DYRK3",0.7
"DYRK4",0.74
"DYSF",0.87
"DYTN",0.8
"DYX1C1",0.94
"DYX1C1-CCPG1",1
"DZANK1",0.88
"DZIP1",0.82
"DZIP1L",0.92
"DZIP3",0.93
"E2F1",7.53
"E2F2",4.25
"E2F3",2.1
"E2F4",3.61
"E2F5",1.27
"E2F6",2.52
"E2F7",1.99
"E2F8",2.49
"E4F1",17.41
"EAF1",1.44
"EAF2",0.8
"EAPP",2
"EARS2",2.02
"EBAG9",0.76
"EBF1",0.81
"EBF2",0.89
"EBF3",0.82
"EBF4",1.24
"EBI3",1.07
"EBLN1",0.68
"EBLN2",1.91
"EBLN3P",1.52
"EBNA1BP2",3.5
"EBP",2.46
"EBPL",1.77
"ECD",1.18
"ECE1",2.85
"ECE2",2.84
"ECEL1",1.05
"ECEL1P2",0.72
"ECH1",5.63
"ECHDC1",1.02
"ECHDC2",3.06
"ECHDC3",1.34
"ECHS1",2.62
"ECI1",8.87
"ECI2",1
"ECM1",1.42
"ECM2",0.85
"ECRP",0.97
"ECSCR",1.26
"ECSIT",4.09
"ECT2",1.06
"ECT2L",1.02
"EDA",0.87
"EDA2R",0.89
"EDAR",0.83
"EDARADD",1.08
"EDC3",1.67
"EDC4",4.78
"EDDM3A",0.69
"EDDM3B",0.74
"EDEM1",1.71
"EDEM2",1.36
"EDEM3",0.85
"EDF1",8
"EDIL3",0.8
"EDN1",1.29
"EDN2",1.69
"EDN3",0.73
"EDNRA",0.83
"EDNRB",0.89
"EDNRB-AS1",0.84
"EDRF1",2.38
"EDRF1-AS1",2.11
"EEA1",0.96
"EED",1.23
"EEF1A1",5.5
"EEF1A2",11.88
"EEF1AKMT1",1.31
"EEF1B2",5.53
"EEF1D",7.85
"EEF1DP3",0.81
"EEF1E1",1.56
"EEF1E1-BLOC1S5",1.18
"EEF1G",2.68
"EEF2",20.13
"EEF2K",2.09
"EEF2KMT",3.08
"EEFSEC",1.2
"EEPD1",1.01
"EFCAB1",0.87
"EFCAB10",1.15
"EFCAB11",0.93
"EFCAB12",0.95
"EFCAB13",0.91
"EFCAB14",1.51
"EFCAB14-AS1",1.25
"EFCAB2",1.02
"EFCAB3",0.85
"EFCAB5",0.9
"EFCAB6",0.95
"EFCAB6-AS1",0.95
"EFCAB7",0.88
"EFCAB9",1.62
"EFCC1",1.26
"EFEMP1",0.79
"EFEMP2",18.2
"EFHB",0.87
"EFHC1",0.94
"EFHC2",0.91
"EFHD1",1
"EFHD2",3.48
"EFL1",1.22
"EFNA1",8.43
"EFNA2",2
"EFNA3",4.54
"EFNA4",1.54
"EFNA5",1.04
"EFNB1",1.41
"EFNB2",1.13
"EFNB3",2.44
"EFR3A",1.17
"EFR3B",1.1
"EFS",1.85
"EFTUD1P1",0.82
"EFTUD2",2.29
"EGF",0.89
"EGFEM1P",0.68
"EGFL6",0.89
"EGFL7",4.42
"EGFL8",3.89
"EGFLAM",0.8
"EGFLAM-AS2",0.98
"EGFLAM-AS4",0.76
"EGFR",0.99
"EGFR-AS1",1.18
"EGLN1",1.31
"EGLN2",12.06
"EGLN3",0.88
"EGOT",1.07
"EGR1",44.97
"EGR2",3.82
"EGR3",18.18
"EGR4",1.09
"EHBP1",1.07
"EHBP1L1",12.19
"EHD1",3.44
"EHD2",2.88
"EHD3",1.26
"EHD4",2.18
"EHD4-AS1",1.6
"EHF",0.97
"EHHADH",0.87
"EHHADH-AS1",0.75
"EHMT1",1.74
"EHMT1-IT1",1.38
"EHMT2",2.85
"EI24",1.41
"EID1",1.1
"EID2",1.16
"EID2B",1.44
"EID3",2.36
"EIF1",24.71
"EIF1AD",2.7
"EIF1AX",1.93
"EIF1AX-AS1",1.42
"EIF1B",1.07
"EIF1B-AS1",0.87
"EIF2A",1.73
"EIF2AK1",1.85
"EIF2AK2",1.8
"EIF2AK3",1.18
"EIF2AK4",1.15
"EIF2B1",1.99
"EIF2B2",5.51
"EIF2B3",1.25
"EIF2B4",6.11
"EIF2B5",6.7
"EIF2D",1.32
"EIF2S1",1.58
"EIF2S2",3.3
"EIF2S3",1.88
"EIF3A",2.25
"EIF3B",5.92
"EIF3C",2.09
"EIF3CL",2.71
"EIF3D",5.5
"EIF3E",1.59
"EIF3F",2.32
"EIF3G",23.4
"EIF3H",1.21
"EIF3I",3.77
"EIF3IP1",0.34
"EIF3J",2.27
"EIF3J-AS1",5.13
"EIF3K",6.17
"EIF3L",2.13
"EIF3M",2.55
"EIF4A1",19.13
"EIF4A2",5.95
"EIF4A3",3.24
"EIF4B",4.17
"EIF4E",1.34
"EIF4E1B",0.84
"EIF4E2",2.75
"EIF4E3",1.1
"EIF4EBP1",1.53
"EIF4EBP2",2.42
"EIF4EBP3",18.29
"EIF4ENIF1",2.11
"EIF4G1",13.35
"EIF4G2",3.3
"EIF4G3",1.22
"EIF4H",3.37
"EIF5",9.93
"EIF5A",22.8
"EIF5A2",0.85
"EIF5AL1",1.1
"EIF5B",1.37
"EIF6",3.66
"ELAC1",1.08
"ELAC2",2.67
"ELANE",1.25
"ELAVL1",3.44
"ELAVL2",0.84
"ELAVL3",1.5
"ELAVL4",0.83
"ELDR",0.88
"ELF1",1.24
"ELF2",1.95
"ELF3",14.15
"ELF4",2.28
"ELF5",1.05
"ELFN1",1.23
"ELFN1-AS1",1.2
"ELFN2",1.7
"ELK1",3.95
"ELK2AP",1.01
"ELK3",1.87
"ELK4",1.23
"ELL",3.13
"ELL2",1.06
"ELL3",4.58
"ELMO1",0.82
"ELMO1-AS1",0.74
"ELMO2",1.83
"ELMO3",6.55
"ELMOD1",0.85
"ELMOD2",1.15
"ELMOD3",1.47
"ELMSAN1",5.39
"ELN",1.01
"ELOA",1.9
"ELOA-AS1",1.86
"ELOA2",0.84
"ELOA3B",0.73
"ELOA3D",0.59
"ELOB",4.33
"ELOC",1.35
"ELOF1",1.96
"ELOVL1",11.84
"ELOVL2",1.21
"ELOVL2-AS1",0.97
"ELOVL3",0.98
"ELOVL4",0.82
"ELOVL5",1.37
"ELOVL6",1.02
"ELOVL7",1.06
"ELP2",1.21
"ELP3",1.18
"ELP4",0.93
"ELP5",9.42
"ELP6",1.79
"ELSPBP1",0.97
"EMB",1.06
"EMBP1",0.77
"EMC1",2.55
"EMC10",2.19
"EMC2",1.14
"EMC3",2.76
"EMC3-AS1",2.86
"EMC4",1.59
"EMC6",4.55
"EMC7",0.99
"EMC8",3.01
"EMC9",6.14
"EMCN",0.93
"EMD",8.39
"EME1",3.56
"EME2",34.71
"EMG1",3.05
"EMID1",1.84
"EMILIN1",2.56
"EMILIN2",1.34
"EMILIN3",4.17
"EML1",1.09
"EML2",3.2
"EML2-AS1",1.89
"EML3",6.76
"EML4",1.15
"EML5",0.82
"EML6",0.95
"EMP1",1.05
"EMP2",4.18
"EMP3",2.6
"EMSY",1.17
"EMX1",1.17
"EMX2",1.03
"EMX2OS",0.88
"EN1",0.83
"EN2",1.18
"ENAH",1.15
"ENAM",0.89
"ENC1",2.04
"ENDOD1",1.13
"ENDOG",6.77
"ENDOU",0.96
"ENDOV",3.82
"ENG",2.77
"ENGASE",3.56
"ENHO",0.69
"ENKD1",3.8
"ENKUR",0.9
"ENO1",9.83
"ENO1-AS1",4.31
"ENO2",2.23
"ENO3",3.05
"ENO4",1.67
"ENOPH1",2.14
"ENOSF1",2.01
"ENOX1",0.84
"ENOX1-AS2",0.94
"ENOX2",1.05
"ENPEP",0.84
"ENPP1",0.94
"ENPP2",0.81
"ENPP3",0.86
"ENPP4",0.78
"ENPP5",0.95
"ENPP6",0.88
"ENPP7",0.99
"ENPP7P13",0.81
"ENSA",4.84
"ENTHD1",0.84
"ENTPD1",0.89
"ENTPD1-AS1",0.95
"ENTPD2",3.14
"ENTPD3",0.89
"ENTPD3-AS1",0.97
"ENTPD4",1.26
"ENTPD5",1.39
"ENTPD6",2.24
"ENTPD7",1.17
"ENTPD8",9.17
"ENY2",1.3
"EOGT",1.27
"EOMES",0.93
"EP300",2.76
"EP300-AS1",1.26
"EP400",1.94
"EP400NL",1.63
"EPAS1",1.43
"EPB41",1.09
"EPB41L1",2.23
"EPB41L2",0.92
"EPB41L3",0.82
"EPB41L4A",0.91
"EPB41L4A-AS1",2.52
"EPB41L4A-AS2",1.49
"EPB41L4B",1.08
"EPB41L5",1.14
"EPB42",1.01
"EPC1",1.52
"EPC2",1.16
"EPCAM",2.22
"EPDR1",0.8
"EPG5",1.01
"EPGN",0.74
"EPHA1",3.69
"EPHA1-AS1",0.84
"EPHA10",1.24
"EPHA2",4.47
"EPHA3",0.8
"EPHA4",1.25
"EPHA5",0.85
"EPHA5-AS1",0.83
"EPHA6",0.78
"EPHA7",0.78
"EPHA8",1
"EPHB1",0.79
"EPHB2",1.23
"EPHB3",2.24
"EPHB4",5.18
"EPHB6",1.57
"EPHX1",3.29
"EPHX2",1.05
"EPHX3",5.86
"EPHX4",1.03
"EPM2A",0.95
"EPM2AIP1",1.4
"EPN1",6.52
"EPN2",1.86
"EPN2-AS1",2.19
"EPN2-IT1",1.97
"EPN3",3.18
"EPO",1
"EPOP",3.1
"EPOR",2.65
"EPPIN",0.84
"EPPIN-WFDC6",0.82
"EPPK1",24.68
"EPRS",1.25
"EPS15",1.2
"EPS15L1",3.48
"EPS8",1.01
"EPS8L1",7.18
"EPS8L2",4.61
"EPS8L3",0.93
"EPSTI1",0.83
"EPX",1.3
"EPYC",0.74
"EQTN",0.81
"ERAL1",1.43
"ERAP1",1.23
"ERAP2",0.82
"ERAS",1.46
"ERBB2",3.4
"ERBB3",4.93
"ERBB4",0.82
"ERBIN",1.4
"ERC1",1
"ERC2",0.89
"ERC2-IT1",0.74
"ERCC1",5.01
"ERCC2",3.89
"ERCC3",2.07
"ERCC4",1.17
"ERCC5",1.17
"ERCC6",1.42
"ERCC6L",1.77
"ERCC6L2",1.29
"ERCC8",1.14
"EREG",1.02
"ERF",10.46
"ERFE",2.75
"ERG",0.74
"ERGIC1",2.46
"ERGIC2",1.34
"ERGIC3",4.81
"ERH",1.56
"ERI1",1.06
"ERI2",1.07
"ERI3",1.62
"ERI3-IT1",1.67
"ERICH1",1.27
"ERICH1-AS1",0.9
"ERICH2",0.88
"ERICH3",0.8
"ERICH3-AS1",0.79
"ERICH4",1.32
"ERICH5",0.88
"ERICH6",0.85
"ERICH6-AS1",1.04
"ERICH6B",0.8
"ERLEC1",0.98
"ERLIN1",1.12
"ERLIN2",1.48
"ERMAP",1.39
"ERMARD",1.36
"ERMN",0.8
"ERMP1",1.25
"ERN1",1.3
"ERN2",0.9
"ERO1A",1.05
"ERO1B",0.94
"ERP27",0.78
"ERP29",2.79
"ERP44",1.11
"ERRFI1",2.82
"ERV3-1",3.69
"ERV3-1-ZNF117",2.32
"ERVFRD-1",2.04
"ERVH48-1",2.01
"ERVK13-1",2.17
"ERVK3-1",1.54
"ERVMER34-1",0.92
"ERVV-1",0.85
"ERVV-2",1.04
"ERVW-1",1.01
"ESAM",2.46
"ESCO1",1.5
"ESCO2",0.92
"ESD",0.91
"ESF1",1.23
"ESM1",0.68
"ESPL1",2.66
"ESPN",2.41
"ESPNL",2.24
"ESPNP",1.34
"ESR1",2.2
"ESR2",1.21
"ESRG",0.96
"ESRP1",1.69
"ESRP2",23.18
"ESRRA",9.34
"ESRRB",0.85
"ESRRG",0.71
"ESX1",0.81
"ESYT1",4.58
"ESYT2",1.12
"ESYT3",1.07
"ETAA1",1.06
"ETF1",3.19
"ETFA",1.62
"ETFB",3.14
"ETFBKMT",0.93
"ETFDH",1
"ETFRF1",1.41
"ETHE1",1.68
"ETNK1",1.12
"ETNK2",2.43
"ETNPPL",0.9
"ETS1",0.87
"ETS2",3.25
"ETV1",0.82
"ETV2",1.6
"ETV3",2.2
"ETV3L",1.04
"ETV4",4.42
"ETV5",1.8
"ETV6",1.24
"ETV7",0.89
"EVA1A",0.77
"EVA1B",16.4
"EVA1C",1.06
"EVADR",0.78
"EVC",0.92
"EVC2",0.91
"EVI2A",1.03
"EVI2B",1.17
"EVI5",0.97
"EVI5L",2.31
"EVL",1.69
"EVPL",10.64
"EVPLL",1.09
"EVX1",1.46
"EVX1-AS",1.36
"EVX2",0.84
"EWSAT1",0.81
"EWSR1",3.53
"EXD1",0.93
"EXD2",0.95
"EXD3",2.61
"EXO1",1.39
"EXO5",1.48
"EXOC1",1.01
"EXOC2",0.99
"EXOC3",1.63
"EXOC3-AS1",1.09
"EXOC3L1",2.12
"EXOC3L2",1.49
"EXOC3L4",1.72
"EXOC4",1.05
"EXOC5",1.15
"EXOC6",1.07
"EXOC6B",0.94
"EXOC7",8.2
"EXOC8",1.16
"EXOG",1.39
"EXOSC1",1.92
"EXOSC10",1.78
"EXOSC2",3.09
"EXOSC3",2.24
"EXOSC4",3.53
"EXOSC5",6.7
"EXOSC6",7.78
"EXOSC7",2.14
"EXOSC8",1.95
"EXOSC9",1.73
"EXPH5",1.13
"EXT1",1.01
"EXT2",1.11
"EXTL1",0.85
"EXTL2",1.14
"EXTL3",1.32
"EXTL3-AS1",2.94
"EYA1",0.76
"EYA2",1.24
"EYA3",1.23
"EYA4",0.82
"EYS",0.81
"EZH1",1.47
"EZH2",1.29
"EZR",3.42
"EZR-AS1",5.43
"F10",1.01
"F10-AS1",0.79
"F11",0.86
"F11-AS1",0.98
"F11R",2.37
"F12",2.54
"F13A1",0.86
"F13B",0.62
"F2",1.96
"F2R",0.9
"F2RL1",1.13
"F2RL2",0.98
"F2RL3",2.92
"F3",1.14
"F5",0.7
"F7",1.49
"F8",0.91
"F8A1",1.86
"F8A2",2.22
"F9",0.82
"FA2H",1.43
"FAAH",2.05
"FAAH2",1.01
"FAAHP1",0.87
"FAAP100",9.98
"FAAP20",4.69
"FAAP24",5.3
"FABP1",0.89
"FABP12",0.86
"FABP2",0.8
"FABP3",2.83
"FABP4",0.8
"FABP5",1.29
"FABP5P3",1.12
"FABP6",0.97
